City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,lazaro cardenas,17.9583,-102.2,28.91,65,89,6.89,MX,1718055441
326,phalodi,27.1333,72.3667,35.01,22,0,4.02,IN,1718055442
327,ariquemes,-9.9133,-63.0408,27.76,54,43,1.39,BR,1718055442
328,recani,31.2846,-4.2688,29.89,16,98,3.76,MA,1718055442
329,titao,13.7667,-2.0667,31.96,41,100,6.85,BF,1718055442
330,korla,41.7597,86.1469,25.17,29,50,2.87,CN,1718055443
331,nemuro,43.3236,145.575,10.68,100,100,3.63,JP,1718055443
332,remire-montjoly,4.9167,-52.2667,26.02,94,59,0.0,GF,1718055443
333,tazacorte,28.629,-17.9293,21.54,86,20,5.66,ES,1718055443
334,kill devil hills,36.0307,-75.676,26.01,54,0,4.63,US,1718055443
335,galashiels,55.6146,-2.807,10.44,94,99,2.11,GB,1718055444
336,ocean shores,46.9737,-124.1563,21.36,74,0,5.66,US,1718055170
337,walvis bay,-22.9575,14.5053,14.53,88,3,1.54,NA,1718055444
338,worland,44.0169,-107.9554,26.45,36,0,5.14,US,1718055444
339,nadi,-17.8,177.4167,24.0,73,20,0.0,FJ,1718055445
340,popondetta,-8.7537,148.2534,25.89,85,89,0.56,PG,1718055445
341,copiapo,-27.3667,-70.3333,14.83,49,100,1.41,CL,1718055210
342,kendari,-3.945,122.4989,23.17,94,73,1.11,ID,1718055279
343,najran,17.4924,44.1277,32.36,18,0,0.95,SA,1718055445
344,utrik,11.2278,169.8474,28.39,77,56,9.38,MH,1718055445
345,suva,-18.1416,178.4415,25.71,78,20,4.63,FJ,1718055446
346,nguigmi,14.2495,13.1092,29.29,60,51,9.81,NE,1718055446
347,kalmunai,7.4167,81.8167,27.41,76,100,2.09,LK,1718055446
348,weno,7.4515,151.8468,25.97,94,75,3.6,FM,1718055446
349,colonia,50.9333,6.95,11.44,81,75,6.69,DE,1718055315
350,lihue,21.9789,-159.3672,29.58,68,20,7.2,US,1718055447
351,'ain el turk,35.7438,-0.7693,23.5,60,40,4.63,DZ,1718055447
352,kirensk,57.7853,108.1119,10.54,88,78,1.34,RU,1718055447
353,howard springs,-12.497,131.047,20.95,84,100,2.91,AU,1718055447
354,uzgen,40.7699,73.3007,18.16,45,31,3.25,KG,1718055447
355,ghat,24.9647,10.1728,32.38,6,0,2.65,LY,1718055448
356,jerseyville,39.12,-90.3285,24.82,59,40,5.01,US,1718055185
357,galesong,-5.3166,119.3661,23.01,76,58,1.88,ID,1718055448
358,cannonvale,-20.2833,148.7,19.66,63,88,4.16,AU,1718055448
359,malmberget,67.1753,20.6549,7.31,93,100,1.54,SE,1718055448
360,katsuura,35.1333,140.3,21.4,77,2,0.62,JP,1718055449
